['DUM-741', '8423 Pin5con. Altura No ok', 'Baja', 'Baja', 'INTERNO', 'SOG-8423-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-507', '8423 Pin5 Altura Con. No Ok ', 'Calibración Aceptada', 'Activo', 'INTERNO', 'SOG-8423-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-506', '8423 Pin4 Altura Con No Ok ', 'Calibración Aceptada', 'Activo', 'INTERNO', 'SOG-8423-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-505', '8423 Pin3 Altura Con No Ok ', 'Calibración Aceptada', 'Activo', 'INTERNO', 'SOG-8423-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-504', '8423 Pin2 Altura Con No Ok ', 'Calibración Aceptada', 'Activo', 'INTERNO', 'SOG-8423-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-586', '7614 Terminal Expuesta', 'Calibración Aceptada', 'Activo', 'INTERNO', 'COT-7614-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-587', '7614 Terminal Expuesta', 'Calibración Aceptada', 'Activo', 'INTERNO', 'COT-7614-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-588', '7614 Terminal Expuesta', 'Calibración Aceptada', 'Activo', 'INTERNO', 'COT-7614-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-480', '7614 Pin corto 8.41', 'Calibración Aceptada', 'Activo', 'INTERNO', 'COT-7614-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-415', '7614 Pieza Ok', 'Calibración Aceptada', 'Activo', 'INTERNO', 'COT-7614-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-481', '7614 Conect Pin 3', 'Calibración Aceptada', 'Activo', 'INTERNO', 'COT-7614-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-442', '7370 Chips No Ok', 'Calibración Aceptada', 'Activo', 'INTERNO', 'BOS-7370-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-453', '10012 Presencia OK', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VER-10012-200', 'NA', 'NA', 'NA - NA', '6']
['DUM-454', '10012 Presencia NOK', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VER-10012-200', 'NA', 'NA', 'NA - NA', '6']
['DUM-451', '10012 Corto  OK', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VER-10012-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-452', '10012 Corto  NOK', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VER-10012-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-1106', 'Pza OK', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-861', 'Pin plástico (sin terminales)', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-1104', 'Pin 9 fuera de posición', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-1096', 'Pin 8 Fuera de Posición', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-1102', 'Pin 8 Fuera de Posición', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-1093', 'Pin 7 Fuera de Posición', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-1094', 'Pin 6  Fuera de Posición', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-1092', 'Pin 5 Fuera de Posición', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-1097', 'Pin 4 Fuera de Posición', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-1103', 'Pin 3 Fuera de Posición', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-1088', 'Pin 22 Fuera de Posicion', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-1089', 'Pin 20 Fuera de Posición', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-1095', 'Pin 2 Fuera de Posición', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-1090', 'Pin 19 Fuera de Posición', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-1098', 'Pin 18 Fuera de Posición', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-8422-000', 'NA', 'NA', 'NA - NA', '6']
