ID,Descripción,Fecha de verificación,Próxima Verificación,Calendario de Verificacion,Estado,Método de verificación,Error-,Error+,Resolución+,Resolución-,Patrón,ID patrón,Usuario,Linea del cliente,Formato,Status,,Fuera de Calibración,,Periodo
DUM-741,8423 Pin5con. Altura No ok,02/12/2020,03/06/2021,24/05/2021,Baja,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,SOG-8423-000,NA,Baja,,0,0,183.00
DUM-507,8423 Pin5 Altura Con. No Ok ,14/06/2021,14/12/2021,04/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,SOG-8423-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-506,8423 Pin4 Altura Con No Ok ,14/06/2021,14/12/2021,04/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,SOG-8423-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-505,8423 Pin3 Altura Con No Ok ,14/06/2021,14/12/2021,04/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,SOG-8423-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-504,8423 Pin2 Altura Con No Ok ,14/06/2021,14/12/2021,04/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,SOG-8423-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-586,7614 Terminal Expuesta,14/06/2021,14/12/2021,04/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,INT403,Moldeo,COT-7614-000,NA,Calibración Aceptada,,,,183.00
DUM-587,7614 Terminal Expuesta,14/06/2021,14/12/2021,04/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,INT403,Moldeo,COT-7614-000,NA,Calibración Aceptada,,,,183.00
DUM-588,7614 Terminal Expuesta,14/06/2021,14/12/2021,04/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,INT403,Moldeo,COT-7614-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-480,7614 Pin corto 8.41,14/06/2021,14/12/2021,04/12/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,COT-7614-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-415,7614 Pieza Ok,14/06/2021,14/12/2021,04/12/2021,Activo,INTERNO,NA,NA,NA,NA,Indicador de Altura,INT405,Moldeo,COT-7614-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-481,7614 Conect Pin 3,14/06/2021,14/12/2021,04/12/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,COT-7614-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-442,7370 Chips No Ok,14/06/2021,14/12/2021,04/12/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,INT393,Moldeo,BOS-7370-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-453,10012 Presencia OK,26/03/2021,25/09/2021,15/09/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VER-10012-200,NA,Calibración Aceptada,FLOME,,,183.00
DUM-454,10012 Presencia NOK,26/03/2021,25/09/2021,15/09/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VER-10012-200,NA,Calibración Aceptada,FLOME,,,183.00
DUM-451,10012 Corto  OK,26/03/2021,25/09/2021,15/09/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VER-10012-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-452,10012 Corto  NOK,26/03/2021,25/09/2021,15/09/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VER-10012-100,NA,Calibración Aceptada,FLOME,,,183.00
DUM-1106,Pza OK,05/02/2021,07/08/2021,23/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-861,Pin plástico (sin terminales),05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-1104,Pin 9 fuera de posición,05/02/2021,07/08/2021,23/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-1096,Pin 8 Fuera de Posición,05/02/2021,07/08/2021,23/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-1102,Pin 8 Fuera de Posición,05/02/2021,07/08/2021,23/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-1093,Pin 7 Fuera de Posición,05/02/2021,07/08/2021,23/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-1094,Pin 6  Fuera de Posición,05/02/2021,07/08/2021,23/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-1092,Pin 5 Fuera de Posición,05/02/2021,08/08/2021,24/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,184.00
DUM-1097,Pin 4 Fuera de Posición,05/02/2021,08/08/2021,24/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,184.00
DUM-1103,Pin 3 Fuera de Posición,05/02/2021,08/08/2021,24/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,184.00
DUM-1088,Pin 22 Fuera de Posicion,05/02/2021,08/08/2021,24/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,184.00
DUM-1089,Pin 20 Fuera de Posición,05/02/2021,08/08/2021,24/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,184.00
DUM-1095,Pin 2 Fuera de Posición,05/02/2021,08/08/2021,24/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,184.00
DUM-1090,Pin 19 Fuera de Posición,05/02/2021,08/08/2021,24/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,184.00
DUM-1098,Pin 18 Fuera de Posición,05/02/2021,07/08/2021,23/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-1101,Pin 15 Fuera de Posición,05/02/2021,07/08/2021,23/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-1099,Pin 13 Fuera de Posición,05/02/2021,07/08/2021,23/07/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
