ID,Descripción,Fecha de verificación,Próxima Verificación,Calendario de Verificacion,Estado,Método de verificación,Error-,Error+,Resolución+,Resolución-,Patrón,ID patrón,Usuario,Linea del cliente,Formato,Status,Periodo
FIX-8673-367,GO,14/07/2021,14/01/2022,25/12/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT066,Estampados,TRW-8673-100,,Calibración Vigente,184
FIX-9670-366,GO,30/06/2021,30/12/2021,10/12/2021,Baja,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT366,Estampados,BOS-9670-000,,Baja,183
FIX-9318-365,GO,01/06/2021,01/12/2021,11/11/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT066,Cold Forging,AUT-9318-000,,Calibración Vigente,183
FIX-9318-364,GO,01/06/2021,01/12/2021,11/11/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT066,Cold Forging,AUT-9318-000,,Calibración Vigente,183
FIX-9318-363,GO,01/06/2021,01/12/2021,11/11/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT066,Cold Forging,AUT-9318-000,,Calibración Vigente,183
FIX-10027-362,GO,22/04/2021,22/10/2021,02/10/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT366,Moldeo,BRO-10027-000,,Calibración Vigente,183
FIX-10027-361,GO,22/04/2021,22/10/2021,02/10/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT366,Moldeo,BRO-10027-000,,Calibración Vigente,183
FIX-10027-360,GO,22/04/2021,22/10/2021,02/10/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT366,Moldeo,BRO-10027-000,,Calibración Vigente,183
FIX-9810-359,GO-Diametro Interno,15/04/2021,15/10/2021,25/09/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT366,Calidad,Incoming,,Calibración Vigente,183
FIX-9810-358,GO-Diametro Externo,15/04/2021,15/10/2021,25/09/2021,Activo,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT366,Calidad,Incoming,,Calibración Vigente,183
FIX-10024-357,Ver. De rebabas 10024,10/03/2021,09/09/2021,20/08/2021,En proceso,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT066,Moldeo,BRO-10024-000,,En proceso,183
FIX-10024-356,Ver. De rebabas 10024,10/03/2021,09/09/2021,20/08/2021,Activo,INTERNO,NA,NA,GO ,NA,SMART SCOPE,INT366,Moldeo,BRO-10024-000,,Calibración Vigente,183
FIX-8422-355,Gage Blank,09/02/2021,11/08/2021,22/07/2021,Activo,INTERNO,NA,NA,GO ,NA,SMART SCOPE,INT366,Moldeo,VAL-8422-000,,En Proceso de Calibración,183
FIX-6257-354,Go / NO GO DIA.,22/07/2021,22/01/2022,02/01/2022,Activo,INTERNO,NA,NA,GO ,NA,Micrómetro,INT466,Estampados,HDL-6257-000,,Calibración Vigente,184
FIX-3686/87-353,GO/ NO GO,22/07/2021,21/01/2022,01/01/2022,Activo,INTERNO,NA,NA,GO ,NA,SMART SCOPE,INT366,Estampados,DEN-3686/87-000,,Calibración Vigente,183
FIX-9318-352,Diametro External GO  (Forja),03/02/2021,05/08/2021,16/07/2021,Activo,INTERNO,NA,NA,GO ,NA,CMM,INT530,Cold Forging,AUT-9318-000,,En Proceso de Calibración,183
FIX-9318-351,GO,03/02/2021,05/08/2021,16/07/2021,Baja,INTERNO,NA,NA,GO,NA,SMART SCOPE,INT366,Cold Forging,AUT-9318-000,,Baja,183
FIX-9670-350,Ver. TP de pines,24/03/2021,23/09/2021,03/09/2021,Activo,INTERNO,NA,NA,GO ,NO GO,SMART SCOPE,INT066,Moldeo,BOS-9670-000,,Calibración Vigente,183
FIX-8585-349,Nest 9,01/12/2020,02/06/2021,13/05/2021,Baja,INTERNO,NA,NA,Nest,NA,SMART SCOPE,INT066,Estampados,COT-8585-000,,Baja,183
FIX-8422-348,VERIFICACION TP DE PINES,01/12/2021,02/06/2022,13/05/2022,Baja,INTERNO,NA,NA,NA,NA,SMART SCOPE,INT066,Moldeo,VAL-8422-000,,Baja,183
FIX-9318-347,Diametro External GO,21/03/2021,20/09/2021,31/08/2021,Activo,INTERNO,NA,NA,GO ,NA,CMM,INT206,Cold Forging,AUT-9318-000,,Calibración Vigente,183
FIX-9318-346,Diametro External GO,30/04/2021,30/10/2021,10/10/2021,Activo,INTERNO,NA,NA,GO ,NA,CMM,INT206,Cold Forging,AUT-9318-000,,Calibración Vigente,183
FIX-9318-345,DIA.  GO,15/05/2021,15/11/2021,26/10/2021,Activo,INTERNO,NA,NA,GO ,NA,CMM,INT206,Cold Forging,AUT-9318-000,,Calibración Vigente,184
FIX-9318-344,DIA.  GO,15/05/2021,15/11/2021,26/10/2021,Activo,INTERNO,NA,NA,NA,NO GO,CMM,INT206,Cold Forging,AUT-9318-000,,Calibración Vigente,184
