ID,Descripción,Fecha de Verificacion,Próxima Verificacion,Calendario de Verificacion,Estado,Método de Verificacion calibracion,Error de equipo,,Resolucion,,N° de Serie,ID de equipo con el que se verifica / Calibra  ,Usuario,Responsable,Ubicación,Formato,Verificacion de Etiquta (ID y Fecha),Status,Prove-Calibracion,Verifico,Fuera de Calibración,,% de Gages Calibrados,Numero de folio,,,Calibración Aceptada,Calibración Pendiente,En Proceso de Calibración,,Buscar,44384.34421,>=,44377.34421,44364.34421,>=44364.3442065972,44384.34421,>=44377.3442065972
,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
INT685,,,,,,,,,,,,,,,,,,,,,,,365,365,,,,,,,,,,,,,,
INT684,,,,,,,,,,,,,,,,,,,,,,,365,365,,,,,,,,,,,,,,
INT683,,,,,,,,,,,,,,,,,,,,,,,365,365,,,,,,,,,,,,,,
INT682,,,,,,,,,,,,,,,,,,,,,,,365,365,,,,,,,,,,,,,,
INT681,,,,,,,,,,,,,,,,,,,,,,,365,365,,,,,,,,,,,,,,
INT680,,,,,,,,,,,,,,,,,,,,,,,365,365,,,,,,,,,,,,,,
INT679,Hypot KEITHLEY 2410,23/06/2021,23/06/2022,03/06/2022,Activo,EXTERNO,NA,NA,NA,NA,9814116,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,Linea BRO-9112-000,N/A,OK,Calibración Aceptada,,FLOME,,,365,365,,,,,,,,,,,,,,
INT678,Pressure Gage,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,NA,NA,0,5000psi,N/A,CERTIFICADO,Personal de Procesos,Marcelo Cortes,Yuh-dak  1,N/A,OK,Calibración Aceptada,,FLOME,1,1,365,365,,,365,R&R Pendiente,R&R Actualizado,,44330,,,,,,,
INT677,Pressure Gage,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,NA,NA,0,5000psi,N/A,CERTIFICADO,Personal de Procesos,Marcelo Cortes,Yuh-dak  1,N/A,OK,Calibración Aceptada,,FLOME,1,1,365,365,,,365,R&R Pendiente,R&R Actualizado,,44330,,,,,,,
INT676,Calibrador Digital,06/05/2021,06/05/2022,16/04/2022,Activo,EXTERNO,N/A,N/A,0,"6""",B20204527,CERTIFICADO,Luis Arzola,Luis Arzola,Taller Moldes,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT675,Calibrador Digital,30/04/2021,30/04/2022,10/04/2022,Activo,INTERNO,N/A,NA,0,"6""",B20143163,CERTIFICADO,Luis Arzola,Luis Arzola,Taller Moldes,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT674,Calibrador Digital,30/04/2021,30/04/2022,10/04/2022,Activo,INTERNO,N/A,NA,0,"6""",B20143162,CERTIFICADO,Luis Arzola,Luis Arzola,Taller Moldes,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
