ID,Descripción,Fecha de Verificacion,Próxima Verificacion,Calendario de Verificacion,Estado,"Método de Verificacion calibracion",Error de equipo,,Resolucion,,N° de Serie,"ID de equipo con el que se verifica / Calibra  ",Usuario,Responsable,Ubicación,Formato,Verificacion de Etiquta (ID y Fecha),Status,Prove-Calibracion,Verifico,Fuera de Calibración,,% de Gages Calibrados,Numero de folio,,,Calibración Vigente,Calibración Vencida,En Proceso de Calibración,,Buscar,27-05-21,>=,20/05/2021,07/05/2021,>=44323.4489422454,27/05/2021,>=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN T629,Hypot KEITHLEY 2410,20/07/2020,20/07/2021,30/06/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,4440324,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,Linea de Brose 9111,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN T630, KEITHLEY 2460 Sourcer Meter,20/07/2020,20/07/2021,30/06/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Produccion,Produccion,Linea de Brose 9111,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN T631,HIOKI  IM3523 LCR,20/07/2020,20/07/2021,30/06/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Produccion,Produccion,Linea de Brose 9111,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN T632,Bascula Ohaus Pioneer,20/07/2020,20/07/2021,30/06/2021,Activo,INTERNO,N/A,N/A,N/A,N/A,B941397976,INT088,laboratorio Metrologia,laboratorio Metrologia,Metrologia,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN T633,Medidor de altura (Sensor),20/07/2020,20/07/2021,30/06/2021,Activo,INTERNO,N/A,N/A,N/A,N/A,,INT062,Produccion,Produccion,Linea BOS-6194-000,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT001,MICROMETRO  ESTANDAR,11/03/2021,11/03/2022,19/02/2022,Activo,INTERNO,"0.0005""","0.0005""","1""","2""",77045390,INT062,Eduardo Marques,Eduardo Marquez,Procesos ,NA,,Calibración Vigente,,,0,1,365.00,365.00,,MICROMETRO  ESTANDAR,#VALUE!,#VALUE!,R&R Actualizado,,44259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT002,MICROMETRO ESTANDAR,11/03/2021,11/03/2022,19/02/2022,Activo,INTERNO,"0.0005""","0.0005""","0""","1""",67134746,INT062,Eduardo Marquez,Eduardo Marquez,Procesos ,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,MICROMETRO ESTANDAR,#VALUE!,#VALUE!,R&R Actualizado,,44259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT007,Micrómetro estandar,08/01/2021,08/01/2022,19/12/2021,Activo,INTERNO,".0005""",".0005""","0""","1""",9010077,INT062, Calidad, Calidad,laboratorio Metrologia,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,Micrómetro estandar,#VALUE!,#VALUE!,R&R Actualizado,,44197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT011,Micrómetro ,09/07/2020,09/07/2021,19/06/2021,Activo,INTERNO,".0002""",".0002""","0""","1""",9503879,INT062,Ricardo Ventura,Ricardo Ventura,Ingenieria Diseño,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,Micrómetro ,#VALUE!,#VALUE!,R&R Actualizado,,44014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT012,Micrómetro análogo,05/02/2019,05/02/2020,16/01/2020,Baja,INTERNO,".0001""",".0001""","0""","1""",,INT062,,,Taller ,N/A,,Baja,,,0,1,365.00,365.00,,Micrómetro análogo,#VALUE!,#VALUE!,R&R Actualizado,,43494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT021,Indicador de carátula,13/07/2020,13/07/2021,23/06/2021,Activo,INTERNO,".0005""",".0005""","0""",".0001""",MNN628,INT062,Uso General,Santos Mata y Oscar Galindo,Taller ,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,Indicador de carátula,#VALUE!,#VALUE!,R&R Actualizado,,44018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT026,Calibrador dig.,22/04/2021,22/04/2022,02/04/2022,Activo,INTERNO,".0005""",".0005""","0""","6""",6277458,INT062,Santos Mata ,Santos Mata ,Taller Estampados,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,Calibrador dig.,#VALUE!,#VALUE!,R&R Actualizado,,44301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
