ID,Descripción,Fecha de Verificacion,Próxima Verificacion,Calendario de Verificacion,Estado,"Método de Verificacion calibracion",Error de equipo,,Resolucion,,N° de Serie,"ID de equipo con el que se verifica / Calibra  ",Usuario,Responsable,Ubicación,Formato,Verificacion de Etiquta (ID y Fecha),Status,Prove-Calibracion,Verifico,Fuera de Calibración,,% de Gages Calibrados,Numero de folio,,,Calibración Aceptada,Calibración Pendiente,En Proceso de Calibración,,Buscar,44384.34421,>=,44377.34421,44364.34421,>=44364.3442065972,44384.34421,>=44377.3442065972
,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
INT685,,,,,,,,,,,,,,,,,,,,,,,365,365,,,,,,,,,,,,,,
INT684,,,,,,,,,,,,,,,,,,,,,,,365,365,,,,,,,,,,,,,,
INT683,,,,,,,,,,,,,,,,,,,,,,,365,365,,,,,,,,,,,,,,
INT682,,,,,,,,,,,,,,,,,,,,,,,365,365,,,,,,,,,,,,,,
INT681,,,,,,,,,,,,,,,,,,,,,,,365,365,,,,,,,,,,,,,,
INT680,,,,,,,,,,,,,,,,,,,,,,,365,365,,,,,,,,,,,,,,
INT679,Hypot KEITHLEY 2410,44370,44735,44715,Activo,EXTERNO,NA,NA,NA,NA,9814116,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,Linea BRO-9112-000,N/A,OK,Calibración Aceptada,,FLOME,,,365,365,,,,,,,,,,,,,,
INT678,Pressure Gage,44337,44702,44682,Activo,EXTERNO,NA,NA,0,5000psi,N/A,CERTIFICADO,Personal de Procesos,Marcelo Cortes,Yuh-dak  1,N/A,OK,Calibración Aceptada,,FLOME,1,1,365,365,,,365,R&R Pendiente,R&R Actualizado,,44330,,,,,,,
INT677,Pressure Gage,44337,44702,44682,Activo,EXTERNO,NA,NA,0,5000psi,N/A,CERTIFICADO,Personal de Procesos,Marcelo Cortes,Yuh-dak  1,N/A,OK,Calibración Aceptada,,FLOME,1,1,365,365,,,365,R&R Pendiente,R&R Actualizado,,44330,,,,,,,
INT676,Calibrador Digital,44322,44687,44667,Activo,EXTERNO,N/A,N/A,0,"6""",B20204527,CERTIFICADO,Luis Arzola,Luis Arzola,Taller Moldes,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT675,Calibrador Digital,44316,44681,44661,Activo,INTERNO,N/A,NA,0,"6""",B20143163,CERTIFICADO,Luis Arzola,Luis Arzola,Taller Moldes,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT674,Calibrador Digital,44316,44681,44661,Activo,INTERNO,N/A,NA,0,"6""",B20143162,CERTIFICADO,Luis Arzola,Luis Arzola,Taller Moldes,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT673,Dinamómetro,44244,44609,44589,Activo,EXTERNO,N/A,NA,0.0098N,98.066N,4103782,CERTIFICADO,Personal Calidad,Griselda Flores,Laboratorio Metrología,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
